index,noisy_label,is_noisy,real_label,mistakes,label_pred,preds
63,2,False,2,5,3,3|3|7|3|3
64,1,False,1,2,1,1|1|7|1|8
65,1,False,1,2,1,1|1|3|1|3
66,4,False,4,3,3,4|4|3|3|3
67,9,False,9,0,9,9|9|9|9|9
68,7,False,7,2,7,7|7|7|0|0
69,8,False,8,2,8,8|8|2|0|8
70,5,False,5,5,3,3|3|0|3|2
71,9,False,9,3,-1,9|9|3|5|5
72,6,False,6,5,1,1|1|1|3|3
73,7,False,7,3,3,7|7|3|3|3
74,3,False,3,1,3,3|3|3|3|0
75,1,False,1,3,1,1|0|1|5|3
76,9,False,9,1,9,9|9|9|9|1
77,0,False,0,1,0,0|0|0|0|6
78,1,True,3,4,9,9|9|7|1|3
79,5,True,1,5,1,1|1|8|1|2
80,3,False,3,5,0,0|0|0|0|7
81,5,False,5,5,3,3|3|3|3|3
82,1,True,4,5,-1,4|4|6|2|2
83,5,False,5,5,-1,2|2|3|3|0
84,7,False,7,5,3,3|1|4|0|3
85,7,False,7,2,7,7|7|4|7|3
86,4,False,4,2,4,4|4|4|3|3
87,7,False,7,1,7,7|7|7|7|3
88,9,False,9,2,9,9|9|9|3|3
89,4,False,4,2,4,4|4|8|0|4
90,2,False,2,4,0,0|0|0|2|0
91,1,True,3,5,3,3|3|3|3|4
92,8,False,8,5,0,3|0|0|0|0
93,0,False,0,1,0,0|0|0|3|0
94,5,True,1,5,-1,1|1|9|3|3
95,6,False,6,5,3,3|3|3|3|3
96,1,False,1,1,1,1|1|1|1|0
97,1,False,1,4,3,1|6|3|3|3
98,4,False,4,4,-1,6|4|3|6|3
99,1,False,1,3,1,1|1|8|0|4
100,8,False,8,3,0,8|8|0|0|0
101,3,False,3,1,3,3|3|3|3|8
102,5,True,9,5,3,9|3|3|6|3
103,6,False,6,5,-1,1|1|3|7|3
104,6,False,6,4,1,6|2|3|1|1
105,1,False,1,0,1,1|1|1|1|1
106,8,False,8,4,0,0|8|0|0|0
107,5,False,5,5,-1,3|3|9|0|9
108,4,True,2,5,0,0|2|0|0|0
109,9,False,9,3,9,9|9|0|3|1
110,9,False,9,2,9,9|9|1|9|1
111,8,False,8,4,3,0|8|3|9|3
112,1,False,1,3,3,1|1|3|3|3
113,7,False,7,5,-1,1|0|1|0|3
114,9,True,7,5,7,7|7|7|3|3
115,0,False,0,1,0,0|0|0|3|0
116,6,True,0,4,0,0|0|3|7|6
117,6,False,6,2,6,6|6|6|3|3
118,9,False,9,2,9,9|9|9|3|3
119,1,False,1,3,-1,1|1|3|5|3
120,9,True,2,5,-1,2|2|0|0|4
121,2,False,2,3,-1,4|4|2|3|2
122,5,True,9,5,3,9|9|3|3|3
123,2,False,2,2,2,2|3|2|2|3
124,6,False,6,0,6,6|6|6|6|6
125,6,False,6,3,3,6|6|3|3|3
126,1,False,1,1,1,1|1|3|1|1
127,9,False,9,2,9,9|9|3|9|3
128,1,True,5,5,3,5|3|3|3|3
129,6,True,0,5,0,0|0|0|0|4
130,4,False,4,5,2,2|2|2|2|2
131,7,False,7,3,7,7|7|2|0|3
132,6,False,6,3,3,6|6|3|3|3
133,7,False,7,3,-1,7|7|3|0|0
134,1,False,1,2,1,1|1|1|5|5
135,8,False,8,3,8,8|8|3|0|2
136,1,False,1,2,1,1|1|1|4|3
137,1,False,1,3,-1,1|1|3|0|3
138,2,False,2,3,-1,2|2|3|0|0
139,8,False,8,3,-1,8|8|9|3|9
140,1,False,1,1,1,1|1|1|6|1
141,3,False,3,4,6,6|6|3|6|4
142,3,False,3,3,-1,3|3|0|2|0
143,6,False,6,0,6,6|6|6|6|6
144,2,False,2,2,2,2|2|2|0|0
145,4,False,4,1,4,4|4|6|4|4
146,9,False,9,3,-1,9|9|1|3|1
147,9,False,9,3,-1,9|9|3|8|3
148,5,False,5,5,3,3|3|3|9|3
149,4,False,4,0,4,4|4|4|4|4
150,3,False,3,1,3,3|3|3|3|4
151,6,False,6,5,3,3|3|3|3|3
152,7,False,7,2,7,7|7|3|7|3
153,1,True,4,5,4,4|4|3|4|2
154,6,False,6,1,6,6|6|3|6|6
155,8,False,8,1,8,8|8|1|8|8
156,5,False,5,5,3,3|3|3|4|3
157,5,False,5,5,3,3|6|3|3|3
158,4,False,4,2,4,4|4|3|4|3
159,3,False,3,1,3,3|3|4|3|3
160,5,True,1,5,9,1|1|9|9|9
161,1,True,8,5,8,8|8|8|8|2
162,4,False,4,4,1,2|4|1|8|1
163,7,False,7,3,7,7|7|3|9|1
164,8,True,6,5,6,6|6|6|6|6
165,0,False,0,2,0,0|0|0|3|3
166,9,False,9,1,9,9|9|3|9|9
167,5,False,5,5,3,3|3|3|2|3
168,1,False,1,2,1,1|1|1|9|9
169,1,True,3,5,3,3|3|3|3|3
170,8,False,8,3,3,8|8|3|3|3
171,2,False,2,2,2,2|2|2|3|8
172,7,False,7,3,0,7|7|0|0|0
173,5,False,5,5,3,3|3|3|3|0
174,3,False,3,0,3,3|3|3|3|3
175,4,False,4,3,4,4|4|3|0|6
176,1,False,1,3,1,1|1|9|0|3
177,1,True,5,5,2,5|5|2|2|2
178,7,False,7,5,9,9|4|9|9|3
179,6,True,0,5,-1,3|3|2|0|2
180,4,False,4,2,4,4|4|2|4|2
181,7,False,7,3,-1,7|7|5|3|3
182,1,True,5,5,5,5|5|5|8|3
183,5,False,5,3,3,5|5|3|3|3
184,1,False,1,2,1,1|1|3|1|3
185,6,True,0,5,9,9|9|9|0|3
186,9,False,9,1,9,9|9|9|9|3
187,6,False,6,4,3,3|3|6|3|3
188,5,True,9,5,9,9|9|9|9|1
189,0,False,0,2,0,0|0|1|0|3
190,8,False,8,5,0,0|0|0|0|0
191,7,False,7,5,0,3|3|0|0|0
192,1,True,8,5,8,8|8|8|3|8
193,1,True,8,5,-1,8|8|0|3|0
194,2,False,2,1,2,2|2|2|2|0
195,5,False,5,4,3,3|5|3|3|8
196,2,False,2,1,2,2|2|4|2|2
197,3,False,3,0,3,3|3|3|3|3
198,2,True,5,5,0,3|5|0|0|0
199,0,False,0,2,0,0|0|0|2|2
200,6,False,6,2,6,6|6|6|3|3
201,2,True,1,5,1,1|1|1|3|3
202,9,False,9,1,9,9|9|9|9|1
203,3,False,3,0,3,3|3|3|3|3
204,6,False,6,1,6,6|6|6|6|3
205,9,False,9,1,9,9|9|9|3|9
206,5,True,1,5,1,1|1|9|1|3
207,1,True,3,5,9,9|9|3|9|3
208,5,True,9,5,9,9|9|1|9|9
209,6,False,6,2,6,6|6|3|1|6
210,8,True,6,5,6,6|6|6|6|3
211,7,False,7,5,9,9|9|9|9|9
212,1,False,1,3,-1,1|1|5|3|3
213,0,False,0,0,0,0|0|0|0|0
214,5,True,9,5,3,9|9|3|3|3
215,8,True,5,5,3,3|3|3|3|3
216,8,False,8,1,8,8|8|8|9|8
217,5,False,5,4,3,5|3|3|6|3
218,9,True,2,5,2,2|2|2|3|3
219,9,False,9,0,9,9|9|9|9|9
220,0,False,0,0,0,0|0|0|0|0
221,8,False,8,2,8,8|8|8|9|3
222,8,False,8,2,8,8|8|8|7|1
223,0,False,0,4,9,0|9|9|1|9
224,7,True,6,5,6,6|6|3|6|6
225,9,False,9,2,9,9|9|9|3|1
226,1,False,1,2,1,1|1|3|3|1
227,1,False,1,3,-1,1|1|8|0|0
228,8,True,6,5,6,6|6|6|6|6
229,3,False,3,3,-1,3|5|8|5|3
230,7,False,7,5,0,9|0|0|5|1
231,6,False,6,3,0,6|0|6|0|0
232,8,True,6,5,2,2|2|2|2|2
233,0,False,0,3,0,0|0|8|3|1
234,6,False,6,4,3,3|6|3|3|3
235,6,False,6,2,6,6|6|6|8|5
236,1,False,1,2,1,1|1|3|3|1
237,7,False,7,3,-1,7|4|3|7|3
238,5,True,1,5,1,1|1|1|4|3
239,5,False,5,3,3,5|5|3|3|3
240,8,False,8,4,0,0|8|3|6|0
241,1,True,3,4,2,2|2|1|2|0
242,6,False,6,4,2,6|2|2|2|2
243,6,False,6,2,6,6|6|3|6|4
244,1,True,8,5,8,8|8|8|0|4
245,6,False,6,2,6,6|6|3|0|6
246,8,False,8,3,-1,8|8|0|0|2
247,1,True,4,5,3,4|4|3|3|3
248,6,False,6,5,-1,0|2|0|2|4
249,6,False,6,3,-1,6|6|0|1|0
250,1,False,1,1,1,1|1|3|1|1
251,3,False,3,4,-1,3|9|6|6|9
252,8,False,8,2,8,8|8|8|4|3
253,1,True,3,5,-1,3|4|4|3|0
254,4,False,4,0,4,4|4|4|4|4
255,1,False,1,1,1,1|1|1|1|3
256,7,False,7,5,3,3|3|0|3|3
257,1,False,1,3,-1,1|1|6|6|2
258,3,False,3,3,-1,3|3|0|0|8
259,8,False,8,3,-1,0|8|8|0|3
260,5,False,5,5,4,4|4|4|8|4
261,1,False,1,1,1,1|1|1|9|1
262,1,False,1,0,1,1|1|1|1|1
263,4,False,4,3,-1,4|4|2|2|8
264,0,False,0,1,0,0|0|0|0|4
265,9,False,9,0,9,9|9|9|9|9
266,1,True,3,5,3,3|3|3|2|0
267,7,False,7,3,7,7|7|0|9|3
268,4,False,4,3,-1,4|4|3|6|6
269,9,False,9,0,9,9|9|9|9|9
270,9,False,9,1,9,9|9|9|3|9
271,2,False,2,3,-1,2|2|0|3|0
272,1,True,4,5,4,4|4|4|4|4
273,9,False,9,4,1,1|1|9|0|1
274,9,False,9,3,3,9|9|3|3|3
275,1,False,1,2,1,1|1|3|3|1
276,6,True,0,5,0,0|0|0|3|0
277,2,True,5,5,3,3|3|1|3|9
278,9,False,9,2,9,9|9|1|1|9
279,0,False,0,0,0,0|0|0|0|0
280,8,False,8,3,0,8|8|0|0|0
281,2,False,2,4,-1,0|0|2|4|4
282,1,False,1,0,1,1|1|1|1|1
283,2,False,2,4,0,0|1|0|2|4
284,0,False,0,0,0,0|0|0|0|0
285,5,False,5,5,3,3|3|7|0|3
286,6,False,6,3,-1,2|6|6|3|3
287,3,False,3,0,3,3|3|3|3|3
288,2,False,2,3,2,2|2|4|0|6
289,7,False,7,3,-1,7|7|2|3|3
290,8,False,8,1,8,8|8|8|8|3
291,8,False,8,1,8,8|8|8|8|3
292,6,False,6,2,6,6|6|3|6|7
293,0,False,0,5,-1,4|1|3|7|9
294,7,False,7,3,-1,7|7|0|0|3
295,9,False,9,1,9,9|9|9|3|9
296,1,True,4,5,0,0|0|4|0|0
297,5,False,5,3,3,5|5|3|3|3
298,6,False,6,5,-1,7|7|1|0|1
299,4,False,4,4,2,2|4|2|2|2
300,2,False,2,5,4,4|4|4|4|3
301,1,False,1,3,-1,9|9|1|1|6
302,1,False,1,3,1,1|1|6|2|3
303,2,False,2,5,3,3|3|3|4|0
304,5,True,1,4,8,8|8|8|5|8
305,5,False,5,5,-1,7|7|4|0|4
306,9,False,9,2,9,9|9|9|3|3
307,9,False,9,1,9,9|9|9|1|9
308,0,False,0,0,0,0|0|0|0|0
309,1,True,8,5,3,0|9|8|3|3
310,4,False,4,2,4,4|4|0|4|0
311,1,False,1,1,1,1|1|1|3|1
312,2,True,1,5,1,1|1|1|3|1
313,6,False,6,1,6,6|6|6|3|6
314,3,False,3,0,3,3|3|3|3|3
315,3,False,3,2,3,3|3|0|0|3
316,5,True,9,5,9,9|9|9|9|1
317,0,False,0,1,0,0|0|0|0|2
318,9,True,7,5,3,3|3|3|3|1
319,9,False,9,2,9,9|9|9|3|3
320,7,False,7,3,-1,7|7|3|4|4
321,7,False,7,3,-1,7|7|3|0|0
322,5,True,9,5,-1,9|9|3|6|3
323,1,False,1,2,1,1|1|9|3|1
324,5,False,5,1,5,5|5|5|5|6
325,1,False,1,2,1,1|1|1|3|8
326,6,False,6,3,3,6|6|3|3|3
327,6,False,6,2,6,6|6|6|3|4
328,8,False,8,3,-1,8|8|3|0|0
329,7,False,7,2,7,7|7|7|0|0
330,1,False,1,2,1,1|1|1|3|9
331,3,False,3,0,3,3|3|3|3|3
332,0,False,0,2,0,0|0|0|3|1
333,3,False,3,1,3,3|3|3|3|2
334,1,True,3,5,3,3|3|3|3|0
335,2,False,2,1,2,2|2|3|2|2
336,4,False,4,4,6,4|3|6|6|6
337,5,False,5,5,6,6|6|3|6|6
338,7,False,7,3,3,7|3|7|3|3
339,5,False,5,3,3,5|5|3|3|3
340,9,False,9,1,9,9|9|9|3|9
341,0,False,0,1,0,0|0|3|0|0
342,3,False,3,4,-1,0|4|3|8|2
343,4,False,4,2,4,4|4|3|6|4
344,0,False,0,0,0,0|0|0|0|0
345,4,False,4,4,-1,6|6|4|2|2
346,4,False,4,3,4,2|4|0|4|3
347,6,False,6,1,6,6|6|6|4|6
348,0,False,0,0,0,0|0|0|0|0
349,0,False,0,0,0,0|0|0|0|0
350,6,False,6,4,3,3|3|3|6|3
351,6,False,6,2,6,6|6|3|3|6
352,0,False,0,3,-1,0|0|8|3|8
353,1,True,8,5,8,8|8|3|8|3
354,1,False,1,2,1,1|1|3|3|1
355,6,False,6,0,6,6|6|6|6|6
356,2,False,2,3,6,2|2|6|6|6
357,9,False,9,3,-1,9|9|1|3|1
358,2,False,2,1,2,2|2|2|3|2
359,5,False,5,5,3,1|1|3|3|3
360,9,False,9,5,0,0|1|0|0|2
361,6,False,6,5,3,3|3|3|3|2
362,7,False,7,2,7,7|7|7|5|0
363,4,False,4,1,4,4|4|4|4|3
364,1,False,1,3,-1,1|1|9|9|3
365,1,True,8,5,-1,8|8|2|0|0
366,7,False,7,5,3,3|3|3|3|3
367,3,False,3,1,3,3|3|3|4|3
368,6,False,6,1,6,6|6|3|6|6
369,9,False,9,3,-1,9|9|3|1|3
370,3,False,3,2,3,3|3|3|1|1
371,0,False,0,0,0,0|0|0|0|0
372,4,False,4,1,4,4|4|4|3|4
373,0,False,0,1,0,0|0|0|0|3
374,5,False,5,4,-1,5|7|7|3|3
375,1,False,1,3,-1,1|1|9|3|9
376,0,False,0,2,0,0|0|9|0|9
377,3,False,3,0,3,3|3|3|3|3
378,4,False,4,4,3,3|4|3|3|3
379,8,False,8,1,8,8|8|8|8|0
380,5,False,5,3,-1,5|5|3|3|1
381,1,True,4,5,4,4|4|4|6|6
382,3,True,7,5,7,7|7|0|7|0
383,2,False,2,3,0,2|2|0|0|0
384,3,False,3,0,3,3|3|3|3|3
385,9,False,9,1,9,9|9|9|9|3
386,9,True,7,4,3,4|7|9|3|3
387,6,False,6,2,6,6|6|6|3|3
388,9,True,7,5,7,3|7|4|7|7
389,1,False,1,0,1,1|1|1|1|1
390,0,True,4,1,0,4|0|0|0|0
391,7,False,7,2,7,7|7|7|0|4
392,0,False,0,3,0,0|3|0|2|8
393,1,False,1,2,1,1|1|1|3|3
394,7,False,7,2,7,7|7|3|7|9
395,3,False,3,0,3,3|3|3|3|3
396,1,False,1,0,1,1|1|1|1|1
397,8,False,8,4,-1,3|1|8|1|3
398,4,False,4,3,-1,4|4|3|2|3
399,1,True,4,5,4,4|4|4|4|3
400,2,False,2,2,2,2|5|6|2|2
401,0,False,0,2,0,0|0|0|3|3
402,2,False,2,3,0,2|2|0|0|0
403,2,False,2,3,0,2|2|0|0|0
404,0,False,0,1,0,0|0|0|0|3
405,6,True,0,5,0,0|0|0|1|0
406,5,True,9,5,9,9|9|8|9|8
407,0,False,0,1,0,0|0|2|0|0
408,9,False,9,1,9,9|9|9|1|9
409,6,False,6,4,5,5|6|5|3|7
410,1,True,8,5,8,8|8|8|8|5
411,2,False,2,5,3,3|3|3|6|3
412,7,False,7,3,-1,7|7|9|1|9
413,7,False,7,3,7,7|7|2|3|6
414,4,False,4,2,4,4|4|3|4|2
415,0,False,0,1,0,0|0|0|3|0
416,3,False,3,0,3,3|3|3|3|3
417,0,False,0,0,0,0|0|0|0|0
418,8,False,8,3,0,8|8|0|0|0
419,9,False,9,3,-1,9|9|1|3|1
420,4,False,4,1,4,4|4|4|2|4
421,2,False,2,3,2,2|2|3|5|1
422,7,False,7,3,-1,7|7|3|3|4
423,2,False,2,5,4,4|4|4|9|9
424,2,True,5,5,-1,3|3|5|5|9
425,2,False,2,2,2,2|2|2|0|4
426,1,True,5,4,-1,5|5|1|3|3
427,1,False,1,2,1,1|1|2|3|1
428,5,True,9,5,9,9|9|9|3|3
429,1,True,4,5,3,4|4|3|3|3
430,1,True,8,5,0,8|8|0|0|0
431,5,False,5,3,-1,5|5|1|1|3
432,1,False,1,1,1,1|1|5|1|1
433,7,False,7,2,7,7|7|7|3|1
434,4,False,4,3,-1,4|4|3|2|3
435,1,True,4,5,-1,3|3|6|6|2
436,0,False,0,0,0,0|0|0|0|0
437,6,False,6,1,6,6|6|6|6|3
438,5,True,9,5,9,9|9|1|9|6
439,0,False,0,1,0,0|0|3|0|0
440,7,False,7,5,3,3|2|3|6|3
441,8,False,8,2,8,8|8|3|0|8
442,8,False,8,2,8,8|8|2|3|8
443,9,False,9,4,3,9|1|3|3|0
444,9,False,9,1,9,9|9|0|9|9
445,3,False,3,0,3,3|3|3|3|3
446,3,False,3,0,3,3|3|3|3|3
447,4,False,4,1,4,4|4|4|4|9
448,0,False,0,2,0,0|8|0|3|0
449,4,False,4,3,-1,4|4|0|7|0
450,5,False,5,5,3,3|3|3|8|3
451,6,False,6,3,6,6|2|5|6|3
452,6,False,6,1,6,6|6|6|2|6
453,0,False,0,2,0,0|0|0|2|3
454,1,False,1,1,1,1|1|1|8|1
455,0,False,0,3,-1,2|0|2|0|3
456,1,True,8,5,8,4|8|2|0|8
457,0,False,0,2,0,0|0|2|0|2
458,4,False,4,4,3,0|4|3|2|3
459,8,False,8,3,-1,2|8|0|0|8
460,1,True,8,4,-1,2|8|5|1|3
461,5,True,1,5,1,1|1|1|3|3
462,5,False,5,1,5,5|5|5|5|3
463,9,True,2,5,2,2|2|4|2|3
464,6,False,6,1,6,6|6|6|3|6
465,8,False,8,3,8,8|8|2|3|0
466,2,True,1,5,9,9|9|3|9|3
467,0,False,0,3,0,0|0|8|2|3
468,0,False,0,0,0,0|0|0|0|0
469,7,False,7,3,7,7|7|3|2|4
470,2,True,7,4,7,7|7|7|0|2
471,5,False,5,4,3,3|7|5|3|3
472,5,True,9,5,-1,9|9|1|3|3
473,6,False,6,5,3,3|3|3|3|3
474,2,False,2,3,-1,2|2|7|3|3
475,8,False,8,2,8,8|8|3|3|8
476,3,False,3,2,3,3|3|3|7|5
477,4,False,4,4,2,3|2|2|4|0
478,7,False,7,5,3,3|3|3|1|3
479,1,True,3,5,3,0|3|3|0|3
480,9,False,9,2,9,9|9|3|3|9
481,0,False,0,0,0,0|0|0|0|0
482,5,True,1,5,1,1|1|3|1|3
483,2,False,2,5,6,6|6|6|3|6
484,4,False,4,2,4,4|4|4|0|0
485,8,False,8,2,8,8|8|8|3|3
486,1,False,1,3,-1,1|1|3|2|3
487,8,False,8,5,-1,1|9|9|3|3
488,6,False,6,1,6,6|6|6|6|3
489,4,False,4,4,2,2|4|2|2|2
490,4,False,4,1,4,4|4|4|0|4
491,5,False,5,3,3,5|5|3|3|3
492,7,False,7,4,3,3|3|7|3|3
493,1,False,1,3,1,1|0|6|1|3
494,3,False,3,1,3,3|3|4|3|3
495,9,False,9,0,9,9|9|9|9|9
496,8,False,8,5,0,0|4|0|0|3
497,6,True,0,5,0,0|4|0|0|0
498,1,False,1,3,3,3|1|3|1|3
499,7,False,7,3,0,7|7|0|0|0
500,5,False,5,3,-1,5|5|3|1|3
501,8,False,8,4,1,1|1|8|3|9
502,8,True,2,5,0,0|0|0|7|0
503,8,False,8,2,8,8|8|0|8|0
504,0,False,0,0,0,0|0|0|0|0
505,4,False,4,2,4,4|4|4|1|3
506,1,False,1,3,9,9|1|1|9|9
507,8,False,8,5,-1,2|2|0|6|0
508,9,False,9,2,9,9|9|3|9|3
509,8,False,8,2,8,8|8|8|3|2
510,2,False,2,3,2,2|2|3|1|5
511,5,True,9,5,9,9|9|9|9|3
512,9,False,9,2,9,9|9|1|3|9
513,2,False,2,1,2,2|2|2|0|2
514,7,False,7,2,7,7|7|6|7|3
515,5,False,5,3,3,3|5|3|3|5
516,9,True,7,5,3,7|7|3|3|3
517,3,False,3,4,2,2|2|2|6|3
518,8,False,8,3,-1,8|8|7|7|0
519,1,True,8,5,-1,7|5|8|5|8
520,4,False,4,1,4,4|4|4|4|3
521,4,False,4,2,4,4|4|3|4|6
522,4,True,2,5,2,2|2|3|2|3
523,7,False,7,3,3,7|7|3|3|3
524,1,False,1,2,1,1|1|1|3|0
525,6,False,6,3,1,1|1|6|6|1
526,4,False,4,5,-1,3|5|6|6|3
527,6,True,0,4,0,0|0|0|6|2
528,4,False,4,1,4,4|4|4|4|1
529,6,False,6,0,6,6|6|6|6|6
530,9,False,9,2,9,9|9|9|3|3
531,7,False,7,1,7,7|7|7|4|7
532,6,False,6,5,3,3|3|3|3|3
533,2,False,2,2,2,2|2|2|3|0
534,5,False,5,1,5,5|5|5|5|3
535,5,False,5,3,-1,5|3|5|0|0
536,1,False,1,3,-1,1|1|9|7|9
537,2,True,7,4,4,7|3|2|4|4
538,2,False,2,1,2,2|2|2|0|2
539,2,False,2,3,0,2|2|0|0|0
540,2,False,2,2,2,2|2|2|0|3
541,5,True,9,5,9,9|9|9|9|0
542,2,True,5,4,-1,5|5|3|2|3
543,4,False,4,2,4,4|4|4|3|3
544,2,False,2,5,1,4|3|8|1|1
545,3,True,7,5,9,7|1|9|9|9
546,8,False,8,4,9,9|8|9|9|4
547,1,False,1,2,1,1|1|1|0|3
548,9,True,3,5,-1,3|3|1|0|0
549,1,True,4,5,4,4|4|3|4|3
550,3,False,3,1,3,3|3|3|3|9
551,4,True,7,5,3,7|7|3|3|3
552,6,False,6,1,6,6|6|6|3|6
553,5,True,9,5,-1,9|9|0|3|3
554,8,False,8,3,-1,8|8|2|0|0
555,6,True,0,5,0,0|0|0|3|0
556,6,False,6,4,3,6|1|0|3|3
557,0,False,0,0,0,0|0|0|0|0
558,2,False,2,4,-1,2|0|0|3|3
559,2,False,2,0,2,2|2|2|2|2
560,2,False,2,1,2,2|2|2|2|0
561,1,False,1,2,1,1|1|3|3|1
562,1,True,8,5,8,8|8|8|3|8
563,4,False,4,5,3,3|3|3|3|3
564,0,False,0,1,0,0|0|0|0|2
565,1,False,1,2,1,1|1|1|6|3
566,8,False,8,1,8,8|8|8|8|0
567,8,False,8,3,-1,8|8|0|3|3
568,5,True,1,5,9,1|9|9|9|9
569,5,False,5,5,3,3|3|3|3|3
570,7,False,7,5,4,4|4|4|3|3
571,6,False,6,3,3,6|6|3|3|3
572,4,False,4,2,4,4|4|3|3|4
573,5,False,5,4,3,5|3|3|1|3
574,8,False,8,1,8,8|8|8|0|8
575,7,False,7,3,-1,7|7|9|9|8
576,5,True,1,5,1,1|1|7|7|1
577,9,False,9,5,0,0|8|0|0|8
578,2,True,1,5,1,1|1|1|3|1
579,9,False,9,2,9,9|9|3|9|3
580,8,False,8,3,3,8|8|3|3|3
581,4,False,4,2,4,4|4|3|4|3
582,7,False,7,5,9,9|9|9|3|9
583,3,False,3,0,3,3|3|3|3|3
584,8,False,8,5,3,1|1|3|3|3
585,1,True,8,4,8,8|8|8|0|1
586,2,False,2,2,2,2|2|0|2|0
587,6,False,6,1,6,6|6|6|3|6
588,6,False,6,1,6,6|6|6|6|3
589,7,False,7,3,-1,7|7|9|3|9
590,5,True,1,5,3,8|1|3|3|3
591,6,False,6,3,6,6|8|1|3|6
592,1,True,8,5,-1,8|8|0|0|4
593,5,True,1,5,1,1|1|3|9|2
594,9,False,9,5,1,1|1|3|1|3
595,7,False,7,2,7,7|7|7|9|9
596,8,False,8,1,8,8|8|8|2|8
597,3,False,3,1,3,3|3|3|3|1
598,0,False,0,0,0,0|0|0|0|0
599,1,False,1,4,0,0|8|0|3|1
600,0,False,0,0,0,0|0|0|0|0
601,8,False,8,3,-1,8|8|3|3|0
602,8,False,8,2,8,8|8|3|8|3
603,1,True,3,5,5,5|5|3|0|2
604,0,False,0,1,0,0|0|3|0|0
605,0,False,0,1,0,0|0|8|0|0
606,1,False,1,2,1,1|1|1|3|3
607,5,False,5,2,5,5|5|5|3|9
608,0,False,0,5,2,2|2|2|2|2
609,1,True,8,5,8,8|8|8|3|3
610,8,False,8,1,8,8|8|8|7|8
611,4,True,7,5,3,3|3|0|3|3
612,5,True,9,5,9,9|9|9|3|3
613,9,False,9,1,9,9|9|9|9|1
614,6,True,0,5,-1,0|0|8|1|8
615,9,False,9,1,9,9|9|1|9|9
616,4,False,4,5,-1,0|0|1|1|3
617,1,False,1,4,9,9|9|1|3|6
618,3,False,3,1,3,3|3|2|3|3
619,8,True,6,5,6,6|6|3|6|1
620,6,False,6,5,-1,2|2|8|3|3
621,4,False,4,5,0,0|0|0|0|3
622,4,False,4,1,4,4|4|4|5|4
623,7,False,7,3,-1,7|7|9|3|3
624,5,False,5,3,-1,5|5|0|3|3
625,6,False,6,1,6,6|6|6|3|6
626,0,False,0,5,-1,6|6|4|4|2
627,8,False,8,4,1,1|1|3|1|8
